GltNr;Menge;Material/Artikelnummer;Breite/Länge;Tiefe/Breite;Höhe/Dicke;KanteVorne;KanteHinten;KanteLinks;KanteRechts;Bemerkung
t999/01/Schubboden;2;U963_ST9_08;1049,25;480;8;;;;;
t999/02/Front;1;U963_ST9_19;170,25;1106;19;U963_2;U963_2;U963_2;U963_2;1-10_Front_Bearbeitung_1.iso
t999/02/Front;1;U963_ST9_19;170,25;1106;19;U963_2;U963_2;U963_2;U963_2;1-9_Front_Bearbeitung_1.iso
t999/03/Rückwand;1;U963_ST9_08;2183,5;934;8;;;;;
t999/04/BodenOben;1;U963_ST9_19;2210;536;19;U963_08;U963_08;U963_08;U963_08;
t999/05/Front;2;U963_ST9_19;160,75;1106;19;U963_2;U963_2;U963_2;U963_2;88051
t999/06/Schubseite links;2;U963_ST9_16;480;122,75;16;U963_08;U963_08;U963_08;U963_08;
t999/06/Schubseite rechts;2;U963_ST9_16;480;122,75;16;U963_08;U963_08;U963_08;U963_08;
t999/07/BodenOben;1;U963_ST9_19;1110;515;19;U963_08;U963_08;U963_08;U963_08;
t999/07/BodenUnten;1;U963_ST9_19;1110;515;19;U963_08;U963_08;U963_08;U963_08;
t999/08/Schubhinterstück;1;U963_ST9_16;1029,5;96,75;16;;U963_08;;;
t999/08/Schubvorderstück;1;U963_ST9_16;1029,5;96,75;16;;U963_08;;;
t999/09/SeiteRechts;1;U963_ST9_19;922;515;19;U963_08;U963_08;;;
t999/10/SeiteRechts;1;U963_ST9_19;922;515;19;U963_08;U963_08;;;
t999/11/SeiteLinks;1;U963_ST9_19;922;515;19;U963_08;U963_08;;;
t999/12/SeiteLinks;1;U963_ST9_19;922;515;19;U963_08;U963_08;;;
t999/13/Front;4;U963_ST9_19;627,5;556;19;U963_2;U963_2;U963_2;U963_2;88131
t999/14/Seite;1;U963_ST9_19;922;491;19;U963_08;;;;
t999/15/Rückwand;1;U963_ST9_08;1083,5;934;8;;;;;
t999/16/Schubhinterstück;1;U963_ST9_16;1029,5;106,25;16;;U963_08;;;
t999/16/Schubvorderstück;1;U963_ST9_16;1029,5;106,25;16;;U963_08;;;
t999/17/Schubseite links;2;U963_ST9_16;480;132,25;16;U963_08;U963_08;U963_08;U963_08;
t999/17/Schubseite rechts;2;U963_ST9_16;480;132,25;16;U963_08;U963_08;U963_08;U963_08;
t999/18/Schubhinterstück;1;U963_ST9_16;1039,25;96,75;16;;U963_08;;;
t999/18/Schubvorderstück;1;U963_ST9_16;1039,25;96,75;16;;U963_08;;;
t999/19/Einlegeboden;2;U963_ST9_19;1081,05;483;19;U963_08;U963_08;U963_08;U963_08;
t999/20/Boden;1;U963_ST9_19;1081,25;491;19;U963_08;U963_08;;;
t999/21/Boden;1;U963_ST9_19;1071,5;491;19;U963_08;U963_08;;;
t999/22/Schubboden;2;U963_ST9_08;1039,5;480;8;;;;;
t999/23/Schubhinterstück;1;U963_ST9_16;1039,25;106,25;16;;U963_08;;;
t999/23/Schubvorderstück;1;U963_ST9_16;1039,25;106,25;16;;U963_08;;;
t999/24/Einlegeboden;2;U963_ST9_19;1071,3;483;19;U963_08;U963_08;U963_08;U963_08;
t999/25/BodenUnten;1;U963_ST9_19;2210;515;19;U963_08;U963_08;U963_08;U963_08;
